g,E_dmrg,time_dmrg,magnetization_z,entropy
0.1,-19.05503760199203,2.2209017276763916,0.055075306407781,0.692621543041059
0.16551724137931034,-19.150961329211214,2.260017156600952,0.0913784147751812,0.6917049367417267
0.23103448275862068,-19.29465734064073,2.355376958847046,0.12801453697534368,0.690322006221618
0.296551724137931,-19.486658079844265,3.2335140705108643,0.16513296040286943,0.6884427789013474
0.3620689655172413,-19.727703630675858,2.471120834350586,0.20290266679278987,0.6860110832133556
0.4275862068965517,-20.01877346985327,2.4755773544311523,0.24152198216956355,0.6829291879537954
0.49310344827586206,-20.36113376339447,2.559743642807007,0.2812332771147544,0.6790289719433696
0.5586206896551723,-20.756410791127355,3.5975875854492188,0.3223503615933385,0.6740111738218735
0.6241379310344827,-21.2067217496506,2.895826578140259,0.3653267441583072,0.6672917365489783
0.689655172413793,-21.714964992498228,3.1775686740875244,0.41095343663275036,0.6575334682664252
0.7551724137931034,-22.28554601817573,3.52301025390625,0.4608522194029974,0.6411567076114105
0.8206896551724137,-22.92587490727075,4.116542100906372,0.5179831455175116,0.6088099053481969
0.886206896551724,-23.647077835342888,3.9952735900878906,0.5840414903568434,0.5458258003877183
0.9517241379310344,-24.45718971877713,3.5368499755859375,0.6515341335348804,0.45706454062272356
1.0172413793103448,-25.349822524695576,3.6170403957366943,0.7086467265640082,0.3744458082361023
1.0827586206896551,-26.308570031798848,3.0921719074249268,0.7527323283076874,0.31285912842613767
1.1482758620689655,-27.31809487449364,3.0233054161071777,0.7867127107859931,0.26832832140998725
1.2137931034482758,-28.367190013840606,3.4342246055603027,0.813539198135793,0.23492068070290398
1.2793103448275862,-29.447893221437916,2.783188581466675,0.8352252556610228,0.2087961049106381
1.3448275862068966,-30.554396390284516,2.736029624938965,0.8530974646070669,0.1876861046002373
1.410344827586207,-31.68232837180513,2.5747551918029785,0.8680567449250829,0.17020306951592487
1.475862068965517,-32.82831114848267,3.324676990509033,0.8807379305896292,0.15544960178055178
1.5413793103448274,-33.98967755781863,2.3962481021881104,0.8916029596946322,0.14281492954706707
1.6068965517241378,-35.164284456008026,2.3712708950042725,0.900996971998454,0.13186548189242697
1.6724137931034482,-36.35038444428481,2.350912094116211,0.9091835199506898,0.1222828303911875
1.7379310344827585,-37.54653503925035,3.0985987186431885,0.9163675494045858,0.11382656544210655
1.803448275862069,-38.751532678517464,2.3240740299224854,0.9227109111614646,0.10631101488574644
1.8689655172413793,-39.96436372177929,2.277509927749634,0.9283431337336874,0.09959004123863849
1.9344827586206894,-41.18416739437116,2.2338547706604004,0.9333690884807982,0.09354676725312723
2.0,-42.41020731426999,2.2372236251831055,0.9378745580251622,0.0880864258496324
